Event,Division,Sex,Year,Points
200m,World,Women,2012,1158
200m,World,Women,2013,1149
200m,World,Women,2014,1150
200m,World,Women,2015,1163
200m,World,Women,2016,1168
200m,World,Women,2017,1163
200m,World,Women,2018,1167
200m,World,Women,2019,1159
200m,World,Women,2021,1173
200m,World,Women,2022,1179
200m,World,Women,2023,1182
3200m,Kansas 1A,Men,2010,310
3200m,Kansas 1A,Men,2011,438
3200m,Kansas 1A,Men,2012,290
3200m,Kansas 1A,Men,2013,325
3200m,Kansas 1A,Men,2014,336
3200m,Kansas 1A,Men,2015,344
3200m,Kansas 1A,Men,2016,339
3200m,Kansas 1A,Men,2017,341
3200m,Kansas 1A,Men,2018,302
3200m,Kansas 1A,Men,2019,319
3200m,Kansas 1A,Men,2021,254
3200m,Kansas 1A,Men,2022,232
3200m,Kansas 1A,Men,2023,262
3200m,Kansas 1A,Women,2010,484
3200m,Kansas 1A,Women,2011,622
3200m,Kansas 1A,Women,2012,400
3200m,Kansas 1A,Women,2013,431
3200m,Kansas 1A,Women,2014,392
3200m,Kansas 1A,Women,2015,378
3200m,Kansas 1A,Women,2016,387
3200m,Kansas 1A,Women,2017,375
3200m,Kansas 1A,Women,2018,341
3200m,Kansas 1A,Women,2019,367
3200m,Kansas 1A,Women,2021,351
3200m,Kansas 1A,Women,2022,348
3200m,Kansas 1A,Women,2023,374
3200m,Kansas 3A,Men,2010,330
3200m,Kansas 3A,Men,2011,341
3200m,Kansas 3A,Men,2012,325
3200m,Kansas 3A,Men,2013,322
3200m,Kansas 3A,Men,2014,334
3200m,Kansas 3A,Men,2015,368
3200m,Kansas 3A,Men,2016,364
3200m,Kansas 3A,Men,2017,394
3200m,Kansas 3A,Men,2018,386
3200m,Kansas 3A,Men,2019,396
3200m,Kansas 3A,Men,2021,410
3200m,Kansas 3A,Men,2022,422
3200m,Kansas 3A,Men,2023,433
3200m,Kansas 3A,Women,2010,449
3200m,Kansas 3A,Women,2011,538
3200m,Kansas 3A,Women,2012,470
3200m,Kansas 3A,Women,2013,481
3200m,Kansas 3A,Women,2014,491
3200m,Kansas 3A,Women,2015,478
3200m,Kansas 3A,Women,2016,466
3200m,Kansas 3A,Women,2017,467
3200m,Kansas 3A,Women,2018,433
3200m,Kansas 3A,Women,2019,449
3200m,Kansas 3A,Women,2021,471
3200m,Kansas 3A,Women,2022,431
3200m,Kansas 3A,Women,2023,464
3200m,Kansas 6A,Men,2010,561
3200m,Kansas 6A,Men,2011,522
3200m,Kansas 6A,Men,2012,591
3200m,Kansas 6A,Men,2013,578
3200m,Kansas 6A,Men,2014,602
3200m,Kansas 6A,Men,2015,599
3200m,Kansas 6A,Men,2016,593
3200m,Kansas 6A,Men,2017,587
3200m,Kansas 6A,Men,2018,598
3200m,Kansas 6A,Men,2019,601
3200m,Kansas 6A,Men,2021,604
3200m,Kansas 6A,Men,2022,616
3200m,Kansas 6A,Men,2023,634
3200m,Kansas 6A,Women,2010,603
3200m,Kansas 6A,Women,2011,578
3200m,Kansas 6A,Women,2012,625
3200m,Kansas 6A,Women,2013,621
3200m,Kansas 6A,Women,2014,636
3200m,Kansas 6A,Women,2015,627
3200m,Kansas 6A,Women,2016,632
3200m,Kansas 6A,Women,2017,657
3200m,Kansas 6A,Women,2018,657
3200m,Kansas 6A,Women,2019,653
3200m,Kansas 6A,Women,2021,622
3200m,Kansas 6A,Women,2022,639
3200m,Kansas 6A,Women,2023,622
400m,Kansas 1A,Men,2010,589
400m,Kansas 1A,Men,2011,602
400m,Kansas 1A,Men,2012,587
400m,Kansas 1A,Men,2013,602
400m,Kansas 1A,Men,2014,611
400m,Kansas 1A,Men,2015,606
400m,Kansas 1A,Men,2016,624
400m,Kansas 1A,Men,2017,612
400m,Kansas 1A,Men,2018,591
400m,Kansas 1A,Men,2019,578
400m,Kansas 1A,Men,2021,556
400m,Kansas 1A,Men,2022,560
400m,Kansas 1A,Men,2023,576
400m,Kansas 1A,Women,2010,575
400m,Kansas 1A,Women,2011,643
400m,Kansas 1A,Women,2012,617
400m,Kansas 1A,Women,2013,614
400m,Kansas 1A,Women,2014,627
400m,Kansas 1A,Women,2015,633
400m,Kansas 1A,Women,2016,643
400m,Kansas 1A,Women,2017,647
400m,Kansas 1A,Women,2018,644
400m,Kansas 1A,Women,2019,623
400m,Kansas 1A,Women,2021,625
400m,Kansas 1A,Women,2022,604
400m,Kansas 1A,Women,2023,625
400m,Kansas 3A,Men,2010,496
400m,Kansas 3A,Men,2011,680
400m,Kansas 3A,Men,2012,614
400m,Kansas 3A,Men,2013,586
400m,Kansas 3A,Men,2014,629
400m,Kansas 3A,Men,2015,619
400m,Kansas 3A,Men,2016,634
400m,Kansas 3A,Men,2017,637
400m,Kansas 3A,Men,2018,637
400m,Kansas 3A,Men,2019,633
400m,Kansas 3A,Men,2021,639
400m,Kansas 3A,Men,2022,638
400m,Kansas 3A,Men,2023,648
400m,Kansas 3A,Women,2010,560
400m,Kansas 3A,Women,2011,649
400m,Kansas 3A,Women,2012,658
400m,Kansas 3A,Women,2013,633
400m,Kansas 3A,Women,2014,661
400m,Kansas 3A,Women,2015,650
400m,Kansas 3A,Women,2016,680
400m,Kansas 3A,Women,2017,664
400m,Kansas 3A,Women,2018,681
400m,Kansas 3A,Women,2019,663
400m,Kansas 3A,Women,2021,674
400m,Kansas 3A,Women,2022,669
400m,Kansas 3A,Women,2023,686
400m,Kansas 6A,Men,2010,706
400m,Kansas 6A,Men,2011,605
400m,Kansas 6A,Men,2012,734
400m,Kansas 6A,Men,2013,698
400m,Kansas 6A,Men,2014,706
400m,Kansas 6A,Men,2015,709
400m,Kansas 6A,Men,2016,706
400m,Kansas 6A,Men,2017,691
400m,Kansas 6A,Men,2018,719
400m,Kansas 6A,Men,2019,690
400m,Kansas 6A,Men,2021,679
400m,Kansas 6A,Men,2022,696
400m,Kansas 6A,Men,2023,714
400m,Kansas 6A,Women,2010,697
400m,Kansas 6A,Women,2011,655
400m,Kansas 6A,Women,2012,716
400m,Kansas 6A,Women,2013,710
400m,Kansas 6A,Women,2014,720
400m,Kansas 6A,Women,2015,724
400m,Kansas 6A,Women,2016,715
400m,Kansas 6A,Women,2017,716
400m,Kansas 6A,Women,2018,718
400m,Kansas 6A,Women,2019,717
400m,Kansas 6A,Women,2021,700
400m,Kansas 6A,Women,2022,723
400m,Kansas 6A,Women,2023,747
400m,NAIA,Men,2010,924
400m,NAIA,Men,2011,932
400m,NAIA,Men,2012,929
400m,NAIA,Men,2013,904
400m,NAIA,Men,2014,926
400m,NAIA,Men,2015,926
400m,NAIA,Men,2016,922
400m,NAIA,Men,2017,927
400m,NAIA,Men,2018,934
400m,NAIA,Men,2019,942
400m,NAIA,Men,2021,913
400m,NAIA,Men,2022,944
400m,NAIA,Men,2023,951
400m,NAIA,Women,2010,900
400m,NAIA,Women,2011,910
400m,NAIA,Women,2012,915
400m,NAIA,Women,2013,885
400m,NAIA,Women,2014,910
400m,NAIA,Women,2015,916
400m,NAIA,Women,2016,905
400m,NAIA,Women,2017,904
400m,NAIA,Women,2018,913
400m,NAIA,Women,2019,912
400m,NAIA,Women,2021,893
400m,NAIA,Women,2022,911
400m,NAIA,Women,2023,920
400m,NCAA D-I,Men,2010,1080
400m,NCAA D-I,Men,2011,1082
400m,NCAA D-I,Men,2012,1086
400m,NCAA D-I,Men,2013,1077
400m,NCAA D-I,Men,2014,1081
400m,NCAA D-I,Men,2015,1086
400m,NCAA D-I,Men,2016,1092
400m,NCAA D-I,Men,2017,1097
400m,NCAA D-I,Men,2018,1098
400m,NCAA D-I,Men,2019,1097
400m,NCAA D-I,Men,2021,1105
400m,NCAA D-I,Men,2022,1115
400m,NCAA D-I,Men,2023,1126
400m,NCAA D-I,Men,2024,1001
400m,NCAA D-I,Women,2010,1064
400m,NCAA D-I,Women,2011,1069
400m,NCAA D-I,Women,2012,1078
400m,NCAA D-I,Women,2013,1081
400m,NCAA D-I,Women,2014,1082
400m,NCAA D-I,Women,2015,1090
400m,NCAA D-I,Women,2016,1091
400m,NCAA D-I,Women,2017,1087
400m,NCAA D-I,Women,2018,1098
400m,NCAA D-I,Women,2019,1091
400m,NCAA D-I,Women,2021,1097
400m,NCAA D-I,Women,2022,1104
400m,NCAA D-I,Women,2023,1114
400m,NCAA D-I,Women,2024,995
400m,NCAA D-II,Men,2010,976
400m,NCAA D-II,Men,2011,974
400m,NCAA D-II,Men,2012,986
400m,NCAA D-II,Men,2013,983
400m,NCAA D-II,Men,2014,978
400m,NCAA D-II,Men,2015,986
400m,NCAA D-II,Men,2016,993
400m,NCAA D-II,Men,2017,994
400m,NCAA D-II,Men,2018,997
400m,NCAA D-II,Men,2019,996
400m,NCAA D-II,Men,2021,971
400m,NCAA D-II,Men,2022,998
400m,NCAA D-II,Men,2023,1011
400m,NCAA D-II,Women,2010,948
400m,NCAA D-II,Women,2011,960
400m,NCAA D-II,Women,2012,972
400m,NCAA D-II,Women,2013,971
400m,NCAA D-II,Women,2014,973
400m,NCAA D-II,Women,2015,981
400m,NCAA D-II,Women,2016,980
400m,NCAA D-II,Women,2017,982
400m,NCAA D-II,Women,2018,977
400m,NCAA D-II,Women,2019,986
400m,NCAA D-II,Women,2021,965
400m,NCAA D-II,Women,2022,979
400m,NCAA D-II,Women,2023,999
400m,NCAA D-III,Men,2010,928
400m,NCAA D-III,Men,2011,937
400m,NCAA D-III,Men,2012,942
400m,NCAA D-III,Men,2013,942
400m,NCAA D-III,Men,2014,938
400m,NCAA D-III,Men,2015,947
400m,NCAA D-III,Men,2016,953
400m,NCAA D-III,Men,2017,950
400m,NCAA D-III,Men,2018,947
400m,NCAA D-III,Men,2019,942
400m,NCAA D-III,Men,2021,931
400m,NCAA D-III,Men,2022,952
400m,NCAA D-III,Men,2023,975
400m,NCAA D-III,Women,2010,914
400m,NCAA D-III,Women,2011,917
400m,NCAA D-III,Women,2012,923
400m,NCAA D-III,Women,2013,917
400m,NCAA D-III,Women,2014,930
400m,NCAA D-III,Women,2015,940
400m,NCAA D-III,Women,2016,940
400m,NCAA D-III,Women,2017,935
400m,NCAA D-III,Women,2018,923
400m,NCAA D-III,Women,2019,925
400m,NCAA D-III,Women,2021,909
400m,NCAA D-III,Women,2022,927
400m,NCAA D-III,Women,2023,937
400m,World,Men,2010,1156
400m,World,Men,2011,1153
400m,World,Men,2012,1160
400m,World,Men,2013,1152
400m,World,Men,2014,1163
400m,World,Men,2015,1178
400m,World,Men,2016,1168
400m,World,Men,2017,1172
400m,World,Men,2018,1175
400m,World,Men,2019,1170
400m,World,Men,2021,1170
400m,World,Men,2022,1176
400m,World,Men,2023,1188
400m,World,Women,2010,1139
400m,World,Women,2011,1144
400m,World,Women,2012,1152
400m,World,Women,2013,1147
400m,World,Women,2014,1146
400m,World,Women,2015,1149
400m,World,Women,2016,1150
400m,World,Women,2017,1149
400m,World,Women,2018,1154
400m,World,Women,2019,1151
400m,World,Women,2021,1167
400m,World,Women,2022,1164
400m,World,Women,2023,1172
5000m,NAIA,Men,2010,803
5000m,NAIA,Men,2011,822
5000m,NAIA,Men,2012,814
5000m,NAIA,Men,2013,802
5000m,NAIA,Men,2014,798
5000m,NAIA,Men,2015,807
5000m,NAIA,Men,2016,782
5000m,NAIA,Men,2017,780
5000m,NAIA,Men,2018,789
5000m,NAIA,Men,2019,779
5000m,NAIA,Men,2021,818
5000m,NAIA,Men,2022,834
5000m,NAIA,Men,2023,839
5000m,NAIA,Women,2010,825
5000m,NAIA,Women,2011,845
5000m,NAIA,Women,2012,834
5000m,NAIA,Women,2013,828
5000m,NAIA,Women,2014,829
5000m,NAIA,Women,2015,837
5000m,NAIA,Women,2016,826
5000m,NAIA,Women,2017,829
5000m,NAIA,Women,2018,815
5000m,NAIA,Women,2019,832
5000m,NAIA,Women,2021,842
5000m,NAIA,Women,2022,853
5000m,NAIA,Women,2023,849
5000m,NCAA D-I,Men,2010,1021
5000m,NCAA D-I,Men,2011,1020
5000m,NCAA D-I,Men,2012,1024
5000m,NCAA D-I,Men,2013,1018
5000m,NCAA D-I,Men,2014,1022
5000m,NCAA D-I,Men,2015,1025
5000m,NCAA D-I,Men,2016,1025
5000m,NCAA D-I,Men,2017,1021
5000m,NCAA D-I,Men,2018,1030
5000m,NCAA D-I,Men,2019,1030
5000m,NCAA D-I,Men,2021,1061
5000m,NCAA D-I,Men,2022,1079
5000m,NCAA D-I,Men,2023,1066
5000m,NCAA D-I,Men,2024,851
5000m,NCAA D-I,Women,2010,1021
5000m,NCAA D-I,Women,2011,1022
5000m,NCAA D-I,Women,2012,1030
5000m,NCAA D-I,Women,2013,1039
5000m,NCAA D-I,Women,2014,1043
5000m,NCAA D-I,Women,2015,1039
5000m,NCAA D-I,Women,2016,1032
5000m,NCAA D-I,Women,2017,1042
5000m,NCAA D-I,Women,2018,1044
5000m,NCAA D-I,Women,2019,1048
5000m,NCAA D-I,Women,2021,1065
5000m,NCAA D-I,Women,2022,1059
5000m,NCAA D-I,Women,2023,1065
5000m,NCAA D-I,Women,2024,889
5000m,NCAA D-II,Men,2010,875
5000m,NCAA D-II,Men,2011,881
5000m,NCAA D-II,Men,2012,882
5000m,NCAA D-II,Men,2013,880
5000m,NCAA D-II,Men,2014,892
5000m,NCAA D-II,Men,2015,891
5000m,NCAA D-II,Men,2016,898
5000m,NCAA D-II,Men,2017,893
5000m,NCAA D-II,Men,2018,900
5000m,NCAA D-II,Men,2019,894
5000m,NCAA D-II,Men,2021,948
5000m,NCAA D-II,Men,2022,951
5000m,NCAA D-II,Men,2023,951
5000m,NCAA D-II,Women,2010,903
5000m,NCAA D-II,Women,2011,907
5000m,NCAA D-II,Women,2012,905
5000m,NCAA D-II,Women,2013,900
5000m,NCAA D-II,Women,2014,907
5000m,NCAA D-II,Women,2015,915
5000m,NCAA D-II,Women,2016,932
5000m,NCAA D-II,Women,2017,929
5000m,NCAA D-II,Women,2018,928
5000m,NCAA D-II,Women,2019,919
5000m,NCAA D-II,Women,2021,930
5000m,NCAA D-II,Women,2022,945
5000m,NCAA D-II,Women,2023,954
5000m,NCAA D-III,Men,2010,843
5000m,NCAA D-III,Men,2011,850
5000m,NCAA D-III,Men,2012,866
5000m,NCAA D-III,Men,2013,865
5000m,NCAA D-III,Men,2014,869
5000m,NCAA D-III,Men,2015,858
5000m,NCAA D-III,Men,2016,869
5000m,NCAA D-III,Men,2017,866
5000m,NCAA D-III,Men,2018,866
5000m,NCAA D-III,Men,2019,870
5000m,NCAA D-III,Men,2021,860
5000m,NCAA D-III,Men,2022,901
5000m,NCAA D-III,Men,2023,918
5000m,NCAA D-III,Women,2010,876
5000m,NCAA D-III,Women,2011,879
5000m,NCAA D-III,Women,2012,894
5000m,NCAA D-III,Women,2013,893
5000m,NCAA D-III,Women,2014,901
5000m,NCAA D-III,Women,2015,887
5000m,NCAA D-III,Women,2016,899
5000m,NCAA D-III,Women,2017,899
5000m,NCAA D-III,Women,2018,903
5000m,NCAA D-III,Women,2019,891
5000m,NCAA D-III,Women,2021,872
5000m,NCAA D-III,Women,2022,907
5000m,NCAA D-III,Women,2023,917
5000m,World,Men,2010,1167
5000m,World,Men,2011,1161
5000m,World,Men,2012,1168
5000m,World,Men,2013,1156
5000m,World,Men,2014,1148
5000m,World,Men,2015,1153
5000m,World,Men,2016,1157
5000m,World,Men,2017,1151
5000m,World,Men,2018,1147
5000m,World,Men,2019,1158
5000m,World,Men,2021,1166
5000m,World,Men,2022,1182
5000m,World,Men,2023,1186
5000m,World,Women,2010,1137
5000m,World,Women,2011,1137
5000m,World,Women,2012,1136
5000m,World,Women,2013,1134
5000m,World,Women,2014,1131
5000m,World,Women,2015,1135
5000m,World,Women,2016,1151
5000m,World,Women,2017,1149
5000m,World,Women,2018,1139
5000m,World,Women,2019,1157
5000m,World,Women,2021,1173
5000m,World,Women,2022,1166
5000m,World,Women,2023,1177
800m,Kansas 1A,Men,2010,424
800m,Kansas 1A,Men,2011,487
800m,Kansas 1A,Men,2012,428
800m,Kansas 1A,Men,2013,462
800m,Kansas 1A,Men,2014,493
800m,Kansas 1A,Men,2015,495
800m,Kansas 1A,Men,2016,525
800m,Kansas 1A,Men,2017,483
800m,Kansas 1A,Men,2018,463
800m,Kansas 1A,Men,2019,450
800m,Kansas 1A,Men,2021,404
800m,Kansas 1A,Men,2022,394
800m,Kansas 1A,Men,2023,430
800m,Kansas 1A,Women,2010,443
800m,Kansas 1A,Women,2011,619
800m,Kansas 1A,Women,2012,491
800m,Kansas 1A,Women,2013,514
800m,Kansas 1A,Women,2014,537
800m,Kansas 1A,Women,2015,548
800m,Kansas 1A,Women,2016,534
800m,Kansas 1A,Women,2017,514
800m,Kansas 1A,Women,2018,497
800m,Kansas 1A,Women,2019,503
800m,Kansas 1A,Women,2021,498
800m,Kansas 1A,Women,2022,483
800m,Kansas 1A,Women,2023,513
800m,Kansas 3A,Men,2010,452
800m,Kansas 3A,Men,2011,482
800m,Kansas 3A,Men,2012,483
800m,Kansas 3A,Men,2013,448
800m,Kansas 3A,Men,2014,477
800m,Kansas 3A,Men,2015,476
800m,Kansas 3A,Men,2016,519
800m,Kansas 3A,Men,2017,504
800m,Kansas 3A,Men,2018,504
800m,Kansas 3A,Men,2019,508
800m,Kansas 3A,Men,2021,542
800m,Kansas 3A,Men,2022,525
800m,Kansas 3A,Men,2023,557
800m,Kansas 3A,Women,2010,472
800m,Kansas 3A,Women,2011,524
800m,Kansas 3A,Women,2012,513
800m,Kansas 3A,Women,2013,545
800m,Kansas 3A,Women,2014,564
800m,Kansas 3A,Women,2015,551
800m,Kansas 3A,Women,2016,556
800m,Kansas 3A,Women,2017,581
800m,Kansas 3A,Women,2018,563
800m,Kansas 3A,Women,2019,562
800m,Kansas 3A,Women,2021,582
800m,Kansas 3A,Women,2022,561
800m,Kansas 3A,Women,2023,581
800m,Kansas 6A,Men,2010,645
800m,Kansas 6A,Men,2011,509
800m,Kansas 6A,Men,2012,658
800m,Kansas 6A,Men,2013,634
800m,Kansas 6A,Men,2014,670
800m,Kansas 6A,Men,2015,674
800m,Kansas 6A,Men,2016,656
800m,Kansas 6A,Men,2017,652
800m,Kansas 6A,Men,2018,657
800m,Kansas 6A,Men,2019,661
800m,Kansas 6A,Men,2021,661
800m,Kansas 6A,Men,2022,681
800m,Kansas 6A,Men,2023,700
800m,Kansas 6A,Women,2010,647
800m,Kansas 6A,Women,2011,578
800m,Kansas 6A,Women,2012,672
800m,Kansas 6A,Women,2013,638
800m,Kansas 6A,Women,2014,664
800m,Kansas 6A,Women,2015,676
800m,Kansas 6A,Women,2016,679
800m,Kansas 6A,Women,2017,686
800m,Kansas 6A,Women,2018,679
800m,Kansas 6A,Women,2019,670
800m,Kansas 6A,Women,2021,664
800m,Kansas 6A,Women,2022,682
800m,Kansas 6A,Women,2023,691
800m,NAIA,Men,2010,912
800m,NAIA,Men,2011,912
800m,NAIA,Men,2012,916
800m,NAIA,Men,2013,903
800m,NAIA,Men,2014,919
800m,NAIA,Men,2015,910
800m,NAIA,Men,2016,900
800m,NAIA,Men,2017,915
800m,NAIA,Men,2018,895
800m,NAIA,Men,2019,899
800m,NAIA,Men,2021,887
800m,NAIA,Men,2022,928
800m,NAIA,Men,2023,936
800m,NAIA,Women,2010,876
800m,NAIA,Women,2011,885
800m,NAIA,Women,2012,876
800m,NAIA,Women,2013,869
800m,NAIA,Women,2014,882
800m,NAIA,Women,2015,900
800m,NAIA,Women,2016,880
800m,NAIA,Women,2017,881
800m,NAIA,Women,2018,866
800m,NAIA,Women,2019,867
800m,NAIA,Women,2021,851
800m,NAIA,Women,2022,865
800m,NAIA,Women,2023,873
800m,NCAA D-I,Men,2010,1057
800m,NCAA D-I,Men,2011,1055
800m,NCAA D-I,Men,2012,1063
800m,NCAA D-I,Men,2013,1051
800m,NCAA D-I,Men,2014,1059
800m,NCAA D-I,Men,2015,1073
800m,NCAA D-I,Men,2016,1079
800m,NCAA D-I,Men,2017,1072
800m,NCAA D-I,Men,2018,1066
800m,NCAA D-I,Men,2019,1063
800m,NCAA D-I,Men,2021,1072
800m,NCAA D-I,Men,2022,1082
800m,NCAA D-I,Men,2023,1085
800m,NCAA D-I,Men,2024,954
800m,NCAA D-I,Women,2010,1043
800m,NCAA D-I,Women,2011,1048
800m,NCAA D-I,Women,2012,1055
800m,NCAA D-I,Women,2013,1055
800m,NCAA D-I,Women,2014,1056
800m,NCAA D-I,Women,2015,1060
800m,NCAA D-I,Women,2016,1060
800m,NCAA D-I,Women,2017,1061
800m,NCAA D-I,Women,2018,1060
800m,NCAA D-I,Women,2019,1064
800m,NCAA D-I,Women,2021,1075
800m,NCAA D-I,Women,2022,1080
800m,NCAA D-I,Women,2023,1084
800m,NCAA D-I,Women,2024,961
800m,NCAA D-II,Men,2010,944
800m,NCAA D-II,Men,2011,939
800m,NCAA D-II,Men,2012,957
800m,NCAA D-II,Men,2013,961
800m,NCAA D-II,Men,2014,954
800m,NCAA D-II,Men,2015,968
800m,NCAA D-II,Men,2016,973
800m,NCAA D-II,Men,2017,969
800m,NCAA D-II,Men,2018,977
800m,NCAA D-II,Men,2019,972
800m,NCAA D-II,Men,2021,975
800m,NCAA D-II,Men,2022,1002
800m,NCAA D-II,Men,2023,1001
800m,NCAA D-II,Women,2010,914
800m,NCAA D-II,Women,2011,914
800m,NCAA D-II,Women,2012,925
800m,NCAA D-II,Women,2013,931
800m,NCAA D-II,Women,2014,941
800m,NCAA D-II,Women,2015,950
800m,NCAA D-II,Women,2016,951
800m,NCAA D-II,Women,2017,963
800m,NCAA D-II,Women,2018,952
800m,NCAA D-II,Women,2019,953
800m,NCAA D-II,Women,2021,936
800m,NCAA D-II,Women,2022,967
800m,NCAA D-II,Women,2023,971
800m,NCAA D-III,Men,2010,932
800m,NCAA D-III,Men,2011,936
800m,NCAA D-III,Men,2012,946
800m,NCAA D-III,Men,2013,935
800m,NCAA D-III,Men,2014,950
800m,NCAA D-III,Men,2015,949
800m,NCAA D-III,Men,2016,958
800m,NCAA D-III,Men,2017,947
800m,NCAA D-III,Men,2018,940
800m,NCAA D-III,Men,2019,935
800m,NCAA D-III,Men,2021,938
800m,NCAA D-III,Men,2022,962
800m,NCAA D-III,Men,2023,979
800m,NCAA D-III,Women,2010,915
800m,NCAA D-III,Women,2011,911
800m,NCAA D-III,Women,2012,921
800m,NCAA D-III,Women,2013,913
800m,NCAA D-III,Women,2014,917
800m,NCAA D-III,Women,2015,931
800m,NCAA D-III,Women,2016,930
800m,NCAA D-III,Women,2017,923
800m,NCAA D-III,Women,2018,917
800m,NCAA D-III,Women,2019,909
800m,NCAA D-III,Women,2021,904
800m,NCAA D-III,Women,2022,924
800m,NCAA D-III,Women,2023,925
800m,World,Men,2010,1153
800m,World,Men,2011,1163
800m,World,Men,2012,1168
800m,World,Men,2013,1163
800m,World,Men,2014,1161
800m,World,Men,2015,1162
800m,World,Men,2016,1164
800m,World,Men,2017,1162
800m,World,Men,2018,1162
800m,World,Men,2019,1166
800m,World,Men,2021,1179
800m,World,Men,2022,1174
800m,World,Men,2023,1177
800m,World,Women,2010,1156
800m,World,Women,2011,1158
800m,World,Women,2012,1163
800m,World,Women,2013,1154
800m,World,Women,2014,1150
800m,World,Women,2015,1156
800m,World,Women,2016,1159
800m,World,Women,2017,1158
800m,World,Women,2018,1158
800m,World,Women,2019,1152
800m,World,Women,2021,1170
800m,World,Women,2022,1168
800m,World,Women,2023,1173
Discus,Kansas 1A,Men,2010,611
Discus,Kansas 1A,Men,2011,578
Discus,Kansas 1A,Men,2012,626
Discus,Kansas 1A,Men,2013,645
Discus,Kansas 1A,Men,2014,658
Discus,Kansas 1A,Men,2015,650
Discus,Kansas 1A,Men,2016,653
Discus,Kansas 1A,Men,2017,643
Discus,Kansas 1A,Men,2018,648
Discus,Kansas 1A,Men,2019,653
Discus,Kansas 1A,Men,2021,633
Discus,Kansas 1A,Men,2022,644
Discus,Kansas 1A,Men,2023,651
Discus,Kansas 1A,Women,2010,490
Discus,Kansas 1A,Women,2011,500
Discus,Kansas 1A,Women,2012,485
Discus,Kansas 1A,Women,2013,493
Discus,Kansas 1A,Women,2014,490
Discus,Kansas 1A,Women,2015,504
Discus,Kansas 1A,Women,2016,521
Discus,Kansas 1A,Women,2017,517
Discus,Kansas 1A,Women,2018,509
Discus,Kansas 1A,Women,2019,515
Discus,Kansas 1A,Women,2021,502
Discus,Kansas 1A,Women,2022,509
Discus,Kansas 1A,Women,2023,515
Discus,Kansas 3A,Men,2010,608
Discus,Kansas 3A,Men,2011,596
Discus,Kansas 3A,Men,2012,628
Discus,Kansas 3A,Men,2013,641
Discus,Kansas 3A,Men,2014,633
Discus,Kansas 3A,Men,2015,630
Discus,Kansas 3A,Men,2016,648
Discus,Kansas 3A,Men,2017,650
Discus,Kansas 3A,Men,2018,653
Discus,Kansas 3A,Men,2019,682
Discus,Kansas 3A,Men,2021,657
Discus,Kansas 3A,Men,2022,676
Discus,Kansas 3A,Men,2023,694
Discus,Kansas 3A,Women,2010,443
Discus,Kansas 3A,Women,2011,496
Discus,Kansas 3A,Women,2012,470
Discus,Kansas 3A,Women,2013,465
Discus,Kansas 3A,Women,2014,484
Discus,Kansas 3A,Women,2015,498
Discus,Kansas 3A,Women,2016,519
Discus,Kansas 3A,Women,2017,520
Discus,Kansas 3A,Women,2018,522
Discus,Kansas 3A,Women,2019,526
Discus,Kansas 3A,Women,2021,508
Discus,Kansas 3A,Women,2022,518
Discus,Kansas 3A,Women,2023,521
Discus,Kansas 6A,Men,2010,672
Discus,Kansas 6A,Men,2011,629
Discus,Kansas 6A,Men,2012,652
Discus,Kansas 6A,Men,2013,661
Discus,Kansas 6A,Men,2014,657
Discus,Kansas 6A,Men,2015,664
Discus,Kansas 6A,Men,2016,670
Discus,Kansas 6A,Men,2017,670
Discus,Kansas 6A,Men,2018,673
Discus,Kansas 6A,Men,2019,663
Discus,Kansas 6A,Men,2021,670
Discus,Kansas 6A,Men,2022,672
Discus,Kansas 6A,Men,2023,679
Discus,Kansas 6A,Women,2010,483
Discus,Kansas 6A,Women,2011,482
Discus,Kansas 6A,Women,2012,492
Discus,Kansas 6A,Women,2013,498
Discus,Kansas 6A,Women,2014,501
Discus,Kansas 6A,Women,2015,495
Discus,Kansas 6A,Women,2016,480
Discus,Kansas 6A,Women,2017,489
Discus,Kansas 6A,Women,2018,491
Discus,Kansas 6A,Women,2019,499
Discus,Kansas 6A,Women,2021,482
Discus,Kansas 6A,Women,2022,472
Discus,Kansas 6A,Women,2023,498
Discus,NAIA,Men,2010,787
Discus,NAIA,Men,2011,806
Discus,NAIA,Men,2012,800
Discus,NAIA,Men,2013,796
Discus,NAIA,Men,2014,814
Discus,NAIA,Men,2015,803
Discus,NAIA,Men,2016,799
Discus,NAIA,Men,2017,803
Discus,NAIA,Men,2018,810
Discus,NAIA,Men,2019,802
Discus,NAIA,Men,2021,805
Discus,NAIA,Men,2022,818
Discus,NAIA,Men,2023,822
Discus,NAIA,Women,2010,692
Discus,NAIA,Women,2011,706
Discus,NAIA,Women,2012,698
Discus,NAIA,Women,2013,696
Discus,NAIA,Women,2014,716
Discus,NAIA,Women,2015,718
Discus,NAIA,Women,2016,708
Discus,NAIA,Women,2017,722
Discus,NAIA,Women,2018,719
Discus,NAIA,Women,2019,712
Discus,NAIA,Women,2021,720
Discus,NAIA,Women,2022,736
Discus,NAIA,Women,2023,735
Discus,NCAA D-I,Men,2010,964
Discus,NCAA D-I,Men,2011,964
Discus,NCAA D-I,Men,2012,968
Discus,NCAA D-I,Men,2013,983
Discus,NCAA D-I,Men,2014,1003
Discus,NCAA D-I,Men,2015,995
Discus,NCAA D-I,Men,2016,992
Discus,NCAA D-I,Men,2017,995
Discus,NCAA D-I,Men,2018,990
